categoryId,categoryName,_currencyId,value,title,viewItemURL
29967,Battery Grips,USD,116.63,[EXCELLENT+++] Nikon Multi Power Battery Pack MB-D11 from Japan,http://www.ebay.com/itm/EXCELLENT-Nikon-Multi-Power-Battery-Pack-MB-D11-Japan-/332417498794
78999,Lens Hoods,USD,116.25,NEW Hasselblad Lens Shade for HC 100mm.  metal hood.  (072),http://www.ebay.com/itm/NEW-Hasselblad-Lens-Shade-HC-100mm-metal-hood-072-/292022436870
30059,"Lens Adapters, Mounts & Tubes",USD,116.1,Hasselblad V Lens to Pentax 645 Mount Camera Adapter Tilt function 6°-Hartblei,http://www.ebay.com/itm/Hasselblad-V-Lens-Pentax-645-Mount-Camera-Adapter-Tilt-function-6-Hartblei-/272394984061
30059,"Lens Adapters, Mounts & Tubes",USD,116.1,Hasselblad V Lens to Contax 645 Mount Camera Adapter Tilt function 6°-Hartblei,http://www.ebay.com/itm/Hasselblad-V-Lens-Contax-645-Mount-Camera-Adapter-Tilt-function-6-Hartblei-/272394988573
30059,"Lens Adapters, Mounts & Tubes",USD,116.1,Hasselblad V Lens to Mamiya 645 Mount Camera Adapter Tilt function 6°-Hartblei,http://www.ebay.com/itm/Hasselblad-V-Lens-Mamiya-645-Mount-Camera-Adapter-Tilt-function-6-Hartblei-/272394990514
29973,Film Backs & Holders,USD,116.1,Hasselblad A24 Chrome 220 Film Back for 500 C/M ELM and others Flying V Button,http://www.ebay.com/itm/Hasselblad-A24-Chrome-220-Film-Back-500-C-M-ELM-and-others-Flying-V-Button-/162724397828
162480,Other Camera & Photo Accs,USD,116.0,HASSELBLAD Lens shade φ60 / 80,http://www.ebay.com/itm/HASSELBLAD-Lens-shade-60-80-/182828592551
79000,Other Lenses & Filters,USD,116.0,Hasselblad Lens Mounting Ring 60 (Bay 60) for the Lens Shade #40525,http://www.ebay.com/itm/Hasselblad-Lens-Mounting-Ring-60-Bay-60-Lens-Shade-40525-/192337994400
30059,"Lens Adapters, Mounts & Tubes",USD,116.0,Hasselblad Mounting Ring 60 (for Old Style Pro Shade #40676) #3040681,http://www.ebay.com/itm/Hasselblad-Mounting-Ring-60-for-Old-Style-Pro-Shade-40676-3040681-/332112054367
27432,Other Cameras & Photo,USD,116.0,Contarex Balgengerät SHP45273,http://www.ebay.com/itm/Contarex-Balgengerat-SHP45273-/351629642119
